episode,title,date
,A Walk In The Woods,1983-01-11
,Mount Mckinley,1983-01-11
,Ebony Sunset,1983-01-18
,Winter Mist,1983-01-25
,Quiet Stream,1983-02-01
,Winter Moon,1983-02-08
,Autumn Mountains,1983-02-15
,Peaceful Valley,1983-02-22
,Seascape,1983-03-01
,Mountain Lake,1983-03-08
,Winter Glow,1983-03-15
,Snowfall,1983-03-22
,Final Reflections,1983-03-29
,Meadow Lake,1983-08-31
,Winter Sun,1983-09-07
,Ebony Sea,1983-09-14
,Shades of Gray,1983-09-21
,Autumn Splendor,1983-09-28
,Black River,1983-10-05
,Brown Mountain,1983-10-12
,Reflections,1983-10-19
,Black and White Seascape,1983-10-26
,Lazy River,1983-11-02
,Black Waterfall,1983-11-09
,Mountain Waterfall,1983-11-16
,Final Grace,1983-11-23
,Mountain Retreat,1984-01-04
,Blue Moon,1984-01-11
,Bubbling Stream,1984-01-18
,Winter Night,1984-01-25
,Distant Hills,1984-02-01
,Covered Bridge,1984-02-08
,Quiet Inlet,1984-02-15
,Night Light,1984-02-22
,The Old Mill,1984-03-01
,Campfire,1984-03-08
,Rustic Barn,1984-03-15
,Hidden Lake,1984-03-22
,Peaceful Waters,1984-03-29
,Purple Splendor,1984-09-05
,Tranquil Valley,1984-09-12
,Majestic Mountains,1984-09-19
,Winter Sawscape,1984-09-26
,Evening Seascape,1984-10-03
,Warm Summer Day,1984-10-10
,Cabin In The Woods,1984-10-17
,Wetlands,1984-10-24
,Cool Waters,1984-10-31
,Quiet Woods,1984-11-07
,Northwest Majesty,1984-11-14
,Autumn Days,1984-11-21
,Mountain Challenge,1984-11-28
,Mountain Waterfall 2,1985-01-02
,Twilight Meadow,1985-01-09
,Mountain Blossoms,1985-01-16
,Winter Stillness,1985-01-23
,Quiet Pond,1985-01-30
,Ocean Sunrise,1985-02-06
,Bubbling Brook,1985-02-13
,Arizona Splendor,1985-02-20
,Anatomy of A Wave,1985-02-27
,The Windmill,1985-03-06
,Autumn Glory,1985-03-13
,Indian Girl,1985-03-20
,Meadow Stream,1985-03-27
,Blue River,1985-05-01
,Nature's Edge,1985-05-08
,Morning Mist,1985-05-15
,Whispering Stream,1985-05-22
,Secluded Forest,1985-05-29
,Snow Trail,1985-06-05
,Arctic Beauty,1985-06-12
,Horizons West,1985-06-19
,High Chateau,1985-06-26
,Country Life,1985-07-02
,Western Expanse,1985-07-09
,Marshlands,1985-07-16
,Blaze of Color,1985-07-23
,Winter Cabin,1985-10-02
,Secluded Lake,1985-10-09
,Evergreen At Sunset,1985-10-16
,Mountain Cabin,1985-10-23
,Portrait of Sally,1985-10-30
,Misty Waterfall,1985-11-06
,Barn At Sunset,1985-11-13
,Mountain Splendor,1985-11-20
,Lake By Mountain,1985-11-27
,Mountain Glory,1985-12-06
,Grey Winter,1985-12-13
,Dock Scene,1985-12-20
,Dark Waterfall,1985-12-27
,Misty Rolling Hills,1986-01-02
,Lakeside Cabin,1986-01-09
,Warm Winter Day,1986-01-16
,Waterside Way,1986-01-23
,Hunter's Haven,1986-01-30
,Bubbling Mountain Brook,1986-02-06
,Winter Hideaway,1986-02-13
,Foot of The Mountain,1986-02-20
,Majestic Pine,1986-02-27
,Cactus At Sunset,1986-03-06
,Mountain Range,1986-03-13
,Lonely Retreat,1986-03-20
,Northern Lights,1986-03-27
,Winter Evergreens,1986-04-30
,Surf's Up,1986-05-07
,Red Sunset,1986-05-14
,Meadow Road,1986-05-21
,Winter Oval,1986-05-28
,Secluded Beach,1986-06-04
,Forest Hills,1986-06-11
,Little House By The Road,1986-06-18
,Mountain Pass,1986-06-25
,Country Charm,1986-07-02
,Nature's Paradise,1986-07-09
,Mountain By The Sea,1986-07-16
,Mountain Hideaway,1986-07-23
,Towering Peaks,1986-09-03
,Cabin At Sunset,1986-09-10
,Twin Falls,1986-09-17
,Secluded Bridge,1986-09-24
,Ocean Breeze,1986-10-01
,Autumn Woods,1986-10-08
,Winter Solitude,1986-10-15
,Golden Sunset,1986-10-22
,Mountain Oval,1986-10-29
,Ocean Sunset,1986-11-05
,Triple View,1986-11-12
,Winter Frost,1986-11-19
,Lakeside Cabin 2,1986-11-26
,Mountain Stream,1986-12-31
,Country Cabin,1987-01-07
,Daisy Delight,1987-01-14
,Hidden Stream,1987-01-21
,Towering Glacier,1987-01-28
,Oval Barn,1987-02-04
,Lakeside Path,1987-02-11
,Sunset Oval,1987-02-18
,Winter Barn,1987-02-25
,Sunset Over The Waves,1987-03-04
,Golden Glow,1987-03-11
,Roadside Barn,1987-03-18
,Happy Accident,1987-03-25
,Golden Knoll,1987-04-29
,Mountain Reflections,1987-05-06
,Secluded Mountain,1987-05-13
,Bright Autumn Trees,1987-05-20
,Black Seascape,1987-05-27
,Steep Mountains,1987-06-03
,Quiet Mountain River,1987-06-10
,Evening Waterfall,1987-06-17
,Tropical Seascape,1987-06-24
,Mountain At Sunset,1987-07-01
,Soft Mountain Glow,1987-07-08
,Mountain In An Oval,1987-07-15
,Winter Mountain,1987-07-22
,Rolling Hills,1987-09-02
,Frozen Solitude,1987-09-09
,Meadow Brook,1987-09-16
,Evening Sunset,1987-09-23
,Mountain View,1987-09-30
,Hidden Creek,1987-10-07
,Peaceful Haven,1987-10-14
,Mountain Exhibition,1987-10-21
,Emerald Waters,1987-10-28
,Mountain Summit,1987-11-04
,Cabin Hideaway,1987-11-11
,Oval Essence,1987-11-18
,Lost Lake,1987-11-25
,Distant Mountains,1987-12-30
,Meadow Brook Surprise,1988-01-06
,Mountain Moonlight Oval,1988-01-13
,Snowy Solitude,1988-01-20
,Mountain River,1988-01-27
,Graceful Mountains,1988-02-03
,Windy Waves,1988-02-10
,On A Clear Day,1988-02-17
,Riverside Escape Oval,1988-02-24
,Surprising Falls,1988-03-02
,Shadow Pond,1988-03-09
,Misty Forest,1988-03-16
,Natural Wonder,1988-03-23
,Splendor of Winter,1988-04-27
,Colors of Nature,1988-05-04
,Grandpa's Barn,1988-05-11
,Peaceful Reflections,1988-05-18
,Hidden Winter Moon Oval,1988-05-25
,Waves of Wonder,1988-06-01
,Cabin By The Pond,1988-06-08
,Fall Stream,1988-06-15
,Christmas Eve Snow,1988-06-22
,Forest Dawn Oval,1988-06-29
,Pathway To Autumn,1988-07-06
,Deep Forest Lake,1988-07-13
,Peaks of Majesty,1988-07-20
,Two Seasons,1988-08-17
,Nestled Cabin,1988-08-24
,Wintertime Discovery,1988-08-31
,Mountain Mirage,1988-09-07
,Double Oval Fantasy,1988-09-14
,Contemplative Lady,1988-09-21
,Deep Woods,1988-09-28
,High Tide,1988-10-05
,Barn In Snow Oval,1988-10-12
,That Time of Year,1988-10-19
,Waterfall Wonder,1988-10-26
,Mighty Mountain Lake,1988-11-02
,Wooded Stream Oval,1988-11-09
,Golden Mist Oval,1989-01-04
,Old Place Home,1989-01-11
,Soothing Vista,1989-01-18
,Stormy Seas,1989-01-25
,Country Time,1989-02-01
,A Mild Winter's Day,1989-02-08
,Spectacular Waterfall,1989-02-15
,View From The Park,1989-02-22
,Lake View,1989-03-01
,Old Country Mill,1989-03-08
,Morning Walk,1989-03-15
,Nature's Splendor,1989-03-22
,Mountain Beauty,1989-03-29
,Half Oval Vignette,1989-07-05
,Absolutely Autumn,1989-07-12
,Mountain Seclusion,1989-07-19
,Crimson Oval,1989-07-26
,Autumn Exhibition,1989-08-02
,Majestic Peaks,1989-08-09
,Golden Morning Mist,1989-08-16
,Winter Lace,1989-08-23
,Seascape Fantasy,1989-08-30
,Double Oval Stream,1989-09-06
,Enchanted Forest,1989-09-13
,Southwest Serenity,1989-09-20
,Rippling Waters,1989-09-27
,Snowfall Magic,1990-01-03
,Quiet Mountain Lake,1990-01-10
,Final Embers of Sunlight,1990-01-17
,Snowy Morn,1990-01-24
,Camper's Haven,1990-01-31
,Waterfall In The Woods,1990-02-07
,Covered Bridge Oval,1990-02-14
,Scenic Seclusion,1990-02-21
,Ebb Tide,1990-02-28
,After The Rain,1990-03-07
,Winter Elegance,1990-03-14
,Evening's Peace,1990-03-21
,Valley of Tranquility,1990-03-28
,Mystic Mountain,1990-04-04
,New Day's Dawn,1990-04-11
,Pastel Winter,1990-04-18
,Hazy Day,1990-04-25
,Divine Elegance,1990-05-02
,Cliffside,1990-05-09
,Autumn Fantasy,1990-05-16
,Old Oak Tree,1990-05-23
,Winter Paradise,1990-05-30
,Days Gone By,1990-06-06
,Change of Seasons,1990-06-13
,Hidden Delight,1990-06-20
,Double Take,1990-06-27
,Valley View,1990-09-05
,Tranquil Dawn,1990-09-12
,Royal Majesty,1990-09-19
,Serenity,1990-09-26
,Cabin At Trial's End,1990-10-03
,Mountain Rhapsody,1990-10-10
,Wilderness Cabin,1990-10-17
,By The Sea,1990-10-24
,Indian Summer,1990-10-31
,Blue Winter,1990-11-07
,Desert Glow,1990-11-14
,Lone Mountain,1990-11-21
,Florida's Glory,1990-11-28
,Autumn Images,1991-01-01
,Hint of Springtime,1991-01-08
,Around The Bend,1991-01-15
,Countryside Oval,1991-01-22
,Russet Winter,1991-01-29
,Purple Haze,1991-02-05
,Dimensions,1991-02-12
,Deep Wilderness Home,1991-02-19
,Haven In The Valley,1991-02-26
,Wintertime Blues,1991-03-05
,Pastel Seascape,1991-03-12
,Country Creek,1991-03-19
,Silent Forest,1991-03-26
,Frosty Winter Morn,1991-09-03
,Forest Edge,1991-09-10
,Mountain Ridge Lake,1991-09-17
,Reflections of Gold,1991-09-24
,Quiet Cove,1991-10-01
,River's Peace,1991-10-08
,At Dawn's Light,1991-10-15
,Valley Waterfall,1991-10-22
,Toward Day's End,1991-10-29
,Falls In The Glen,1991-11-05
,Frozen Beauty In Vignette,1991-11-12
,Crimson Tide,1991-11-19
,Winter Bliss,1991-11-26
,Grey Mountain,1992-01-07
,Wayside Pond,1992-01-14
,Teton Winter,1992-01-21
,Little Home In The Meadow,1992-01-28
,Pretty Autumn Day,1992-02-04
,Mirrored Images,1992-02-11
,Back-country Path,1992-02-18
,Graceful Waterfall,1992-02-25
,Icy Lake,1992-03-03
,Rowboat On The Beach,1992-03-10
,Portrait of Winter,1992-03-17
,Footbridge,1992-03-24
,Snowbound Cabin,1992-03-31
,Hide-a-way Cove,1992-08-25
,Enchanted Falls Oval,1992-09-01
,Not Quite Spring,1992-09-08
,Splashes of Autumn,1992-09-15
,Summer In The Mountains,1992-09-22
,Oriental Falls,1992-09-29
,Autumn Palette,1992-10-06
,Cypress Swamp,1992-10-13
,Downstream View,1992-10-20
,Just Before The Storm,1992-10-27
,Fisherman's Paradise,1992-11-03
,Desert Hues,1992-11-10
,The Property Line,1992-11-17
,In The Stillness of Morning,1992-12-01
,Delightful Meadow Home,1992-12-08
,First Snow,1992-12-15
,Lake In The Valley,1992-12-22
,A Trace of Spring,1992-12-29
,An Arctic Winter Day,1993-01-05
,Snow Birch,1993-01-12
,Early Autumn,1993-01-19
,Tranquil Wooded Stream,1993-01-26
,Purple Mountain Range,1993-02-02
,Storm's A Comin',1993-02-09
,Sunset Aglow,1993-02-16
,Evening At The Falls,1993-02-23
,Twilight Beauty,1993-03-02
,Angler's Haven,1993-03-09
,Rustic Winter Woods,1993-03-16
,Wilderness Falls,1993-03-23
,Winter At The Farm,1993-03-30
,Daisies At Dawn,1993-04-06
,A Spectacular View,1993-04-13
,Daybreak,1993-04-20
,Island Paradise,1993-04-27
,Sunlight In The Shadows,1993-05-04
,Splendor of A Snowy Winter,1993-05-11
,Forest River,1993-05-18
,Golden Glow of Morning,1993-05-20
,Fisherman's Trail,1993-05-25
,A Warm Winter,1993-06-01
,Under Pastel Skies,1993-06-08
,Golden Rays of Sunlight,1993-06-15
,The Magic of Fall,1993-06-22
,Glacier Lake,1993-06-29
,The Old Weathered Barn,1993-07-06
,Deep Forest Falls,1993-07-13
,Winter's Grace,1993-07-20
,Splendor of Autumn,1993-07-27
,Tranquil Seas,1993-08-03
,Mountain Serenity,1993-08-10
,Home Before Nightfall,1993-08-17
,Island In The Wilderness,1993-08-24
,Autumn Oval,1993-08-31
,Seasonal Progression,1993-09-07
,Light At The Summit,1993-09-14
,Countryside Barn,1993-09-21
,Mountain Lake Falls,1993-09-28
,Cypress Creek,1993-10-05
,Trapper's Cabin,1993-10-12
,Storm On The Horizon,1993-10-19
,Pot O' Posies,1993-10-26
,A Perfect Winter Day,1993-11-02
,Aurora's Dance,1993-11-09
,Woodsman's Retreat,1993-11-16
,Babbling Brook,1993-11-23
,Woodgrain View,1993-11-30
,Winter's Peace,1993-12-07
,Wilderness Trail,1993-12-14
,A Copper Winter,1993-12-21
,Misty Foothills,1993-12-28
,Through The Window,1994-01-04
,Home In The Valley,1994-01-11
,Mountains of Grace,1994-01-18
,Seaside Harmony,1994-01-25
,A Cold Spring Day,1994-02-01
,Evening's Glow,1994-02-08
,Blue Ridge Falls,1994-02-15
,Reflections of Calm,1994-02-22
,Before The Snowfall,1994-03-01
,Winding Stream,1994-03-08
,Tranquility Cove,1994-03-15
,Cabin In The Hollow,1994-03-22
,View From Clear Creek,1994-03-29
,Bridge To Autumn,1994-04-05
,Trail's End,1994-04-12
,Evergreen Valley,1994-04-19
,Balmy Beach,1994-04-26
,Lake At The Ridge,1994-05-03
,In The Midst of Winter,1994-05-10
,Wilderness Day,1994-05-17
